Date,Open,High,Low,Close,Volume,Adj Close
2016-08-23,61.860001,62.790001,61.860001,62.540001,24900,61.865456
2016-08-22,61.619999,61.959999,61.310001,61.959999,8400,61.29171
2016-08-19,61.220001,61.84,61.02,61.84,15700,61.173005
2016-08-18,61.00,61.48,60.389999,61.16,12600,60.500339
2016-08-17,61.66,61.66,60.830002,60.900002,3900,60.243145
2016-08-16,61.790001,61.950001,60.869999,61.41,10300,60.747643
2016-08-15,61.450001,61.900002,61.450001,61.82,14900,61.15322
2016-08-12,60.869999,61.73,60.419998,61.459999,19100,60.797103
2016-08-11,60.860001,60.91,60.389999,60.830002,25000,60.1739
2016-08-10,60.68,60.900002,60.419998,60.700001,10100,60.045302
2016-08-09,60.59,60.860001,60.450001,60.73,11600,60.074977
2016-08-08,61.57,61.619999,60.389999,60.50,11700,59.847458
2016-08-05,60.77,62.150002,60.77,61.91,16500,61.24225
2016-08-04,61.349998,61.869999,60.919998,60.919998,7700,60.262926
2016-08-03,60.48,61.299999,60.400002,61.209999,31700,60.549799
2016-08-02,60.810001,60.84,60.59,60.630001,10300,59.976057
2016-08-01,60.400002,60.889999,60.400002,60.82,15900,60.164006
2016-07-29,60.700001,60.700001,60.400002,60.59,19900,59.936487
2016-07-28,60.459999,60.799999,60.200001,60.779999,32600,60.124437
2016-07-27,60.400002,60.700001,59.799999,60.700001,20300,60.045302
2016-07-26,59.919998,60.810001,59.889999,60.43,13700,59.778213
2016-07-25,60.599998,60.599998,59.900002,60.040001,10000,59.39242
2016-07-22,60.509998,60.799999,59.830002,60.380001,5500,59.728753
2016-07-21,60.049999,60.439999,59.860001,60.16,11600,59.511125
2016-07-20,60.75,60.799999,60.00,60.490002,19400,59.837568
2016-07-19,60.25,60.91,60.25,60.48,26100,59.827673
2016-07-18,60.00,61.119999,59.77,60.150002,34000,59.501235
2016-07-15,60.919998,60.919998,58.099998,59.330002,14800,58.690079
2016-07-14,59.869999,61.240002,59.709999,60.540001,16400,59.887027
2016-07-13,57.990002,59.990002,57.049999,59.709999,19100,59.065978
2016-07-12,57.389999,60.029999,57.349998,57.939999,40900,57.315068
2016-07-11,56.66,57.700001,56.080002,57.57,24200,56.94906
2016-07-08,59.50,59.50,56.50,57.009998,30200,56.395099
2016-07-07,58.709999,59.259998,58.00,58.830002,8900,58.195472
2016-07-06,57.779999,59.110001,57.50,58.59,11700,57.958059
2016-07-05,57.869999,59.43,57.77,58.080002,19600,57.453561
2016-07-01,58.830002,59.09,58.080002,58.630001,7600,57.997629
2016-06-30,59.040001,59.07,57.029999,59.07,18800,58.432881
